latitude,longitude,booking_time,pickup_time,status,app,test
43.6888999,-79.4912419,2013-02-18 21:07,2013-02-19 11:10,complete,false,false
0,0,2013-02-18 23:56,2013-02-19 04:57,complete,false,false
43.6398735,-79.3814231,2013-02-19 12:23,2013-02-19 17:55,complete,false,false
43.7300698,-79.3285427,2013-02-19 16:19,2013-02-19 22:10,complete,false,false
43.6604774,-79.4480061,2013-02-19 20:45,2013-02-20 03:00,cancelled,false,false
43.645838,-79.393069,2013-02-20 10:11,2013-02-20 15:11,cancelled,true,true
43.7168038,-79.4132911,2013-02-20 10:31,2013-02-20 19:00,cancelled,false,false
0,0,2013-02-20 10:47,2013-02-20 16:15,complete,false,false
43.7168038,-79.4132911,2013-02-20 11:34,2013-02-20 19:00,complete,false,false
45.323296,-75.669834,2013-02-20 13:14,2013-02-20 18:14,complete,true,false
43.654512,-79.368577,2013-02-20 15:49,2013-02-20 20:49,cancelled,true,false
43.7269751,-79.3403718,2013-02-20 17:19,2013-02-20 22:04,cancelled,false,false
43.652944,-79.4036645,2013-02-21 08:05,2013-02-21 13:05,complete,false,false
43.653437,-79.369098,2013-02-21 08:59,2013-02-21 13:59,cancelled,true,true
43.653388,-79.368991,2013-02-21 09:02,2013-02-21 14:02,cancelled,true,true
0,0,2013-02-21 11:07,2013-02-21 11:00,cancelled,false,false
0,0,2013-02-21 11:10,2013-02-21 11:00,complete,false,false
43.645665,-79.392991,2013-02-21 14:44,2013-02-21 19:44,cancelled,true,true
43.645788,-79.393161,2013-02-21 14:50,2013-02-21 19:49,cancelled,true,true
43.645797,-79.393012,2013-02-21 14:57,2013-02-21 19:57,cancelled,true,true
43.64584,-79.393072,2013-02-21 15:04,2013-02-21 20:03,cancelled,true,true
43.645774,-79.393126,2013-02-21 15:36,2013-02-21 20:36,cancelled,true,true
43.645565,-79.393362,2013-02-21 15:39,2013-02-21 20:39,cancelled,true,true
43.645803,-79.393155,2013-02-21 15:42,2013-02-21 20:41,complete,true,true
43.654636,-79.394813,2013-02-21 15:58,2013-02-21 20:57,cancelled,true,true
43.654608,-79.394754,2013-02-21 16:24,2013-02-21 21:23,complete,true,true
43.645827,-79.392994,2013-02-21 16:43,2013-02-21 21:43,complete,true,true
43.654639,-79.394774,2013-02-21 17:16,2013-02-21 22:16,complete,true,true
43.645863,-79.393086,2013-02-21 17:24,2013-02-21 22:24,complete,true,true
43.645822,-79.393092,2013-02-21 18:46,2013-02-21 23:45,complete,true,true
43.663787,-79.398811,2013-02-21 23:42,2013-02-22 04:42,complete,true,false
43.6413676,-79.5578161,2013-02-22 05:27,2013-02-22 10:40,complete,false,false
0,0,2013-02-22 11:24,2013-02-22 16:25,complete,false,false
43.7010258,-79.4464537,2013-02-22 12:07,2013-02-23 10:00,complete,false,false
43.6547301,-79.3946911,2013-02-22 17:00,2013-02-23 22:01,complete,false,false
0,0,2013-02-23 01:44,2013-02-23 05:00,complete,false,false
43.659251,-79.374002,2013-02-23 07:10,2013-02-23 12:10,complete,true,false
43.6815703,-79.278944,2013-02-23 16:10,2013-02-23 22:00,complete,false,false
45.510597,-73.566134,2013-02-23 16:14,2013-02-23 21:14,complete,true,false
45.51009,-73.566923,2013-02-23 16:15,2013-02-23 21:15,complete,true,false
43.6719857,-79.4034018,2013-02-23 17:26,2013-02-23 22:50,complete,false,false
43.661336,-79.383039,2013-02-23 20:44,2013-02-24 01:44,complete,true,false
43.654604,-79.394778,2013-02-23 22:54,2013-02-24 03:54,complete,true,true
43.654588,-79.368534,2013-02-23 23:42,2013-02-24 04:40,complete,true,false
0,0,2013-02-24 13:20,2013-02-24 05:00,complete,false,false
43.648916,-79.396312,2013-02-24 13:23,2013-02-24 18:23,complete,true,false
0,0,2013-02-24 16:41,2013-02-24 21:33,complete,false,false
43.6542521,-79.4398694,2013-02-24 16:46,2013-02-25 14:00,complete,false,false
0,0,2013-02-25 01:08,2013-02-25 05:00,complete,false,false
0,0,2013-02-25 08:20,2013-02-25 13:22,complete,false,false
43.648297,-79.3904147,2013-02-25 08:33,2013-02-25 13:33,complete,false,false
43.730374,-79.29134,2013-02-25 11:07,2013-02-25 16:07,complete,true,false
0,0,2013-02-25 12:46,2013-02-25 22:00,complete,false,false
0,0,2013-02-25 15:06,2013-02-25 20:07,complete,false,false
43.8179964,-79.3352186,2013-02-25 15:37,2013-02-25 21:15,complete,false,false
0,0,2013-02-25 16:47,2013-02-26 12:45,complete,false,false
38.820738,-77.217648,2013-02-25 18:17,2013-02-25 23:16,complete,true,false
38.821221,-77.217578,2013-02-25 18:17,2013-02-25 23:17,complete,true,false
38.820632,-77.217587,2013-02-25 18:17,2013-02-25 23:17,complete,true,false
43.634881,-79.400711,2013-02-25 18:20,2013-02-25 23:20,complete,true,false
43.644677,-79.411204,2013-02-25 18:29,2013-02-25 23:28,complete,true,false
43.646385,-79.409162,2013-02-25 18:33,2013-02-25 23:32,complete,true,false
43.781021,-79.398626,2013-02-25 18:35,2013-02-25 23:35,complete,true,false
